Exp ID,pos_class_weight,k,density_alpha (β),tune_threshold,objective,best_threshold (val),Recall (test),F1 (test),G-mean (test)
DA-1,4.0,5,2.0,Yes,f1,0.24000000000000005,0.7561436672967864,0.603090840557859,0.8251428572440356
DA-2,4.0,5,5.0,Yes,f1,0.23000000000000004,0.7580340264650284,0.6011994002998501,0.8254264155158668
DA-3,4.0,5,8.0,Yes,f1,0.24000000000000005,0.7325141776937618,0.5993812838360402,0.814516273969534
