n_clusters,n_trees,compression_ratio,threshold,recall,f1,gmean,auc,pred_time_s,f1_retention,speedup,f1_loss
5,5,0.025,0.21000000000000002,0.6219281663516069,0.5522450692404532,0.7549685410524353,0.8447325621172971,0.005674375002854504,93.21583438243111,12.692256852149548,6.784165617568886
8,8,0.04,0.37000000000000005,0.5954631379962193,0.5426356589147286,0.7403945137518,0.8822835941208291,0.008023375004995614,91.59382044092584,8.97635034717981,8.406179559074173
10,10,0.05,0.21000000000000002,0.7060491493383743,0.5711009174311926,0.7964539912760805,0.8937790966758324,0.009410375001607463,96.39859457349209,7.6533214669281255,3.6014054265079127
12,12,0.06,0.26000000000000006,0.6710775047258979,0.5841217605923489,0.784447245822273,0.9022907436320227,0.012317957996856421,98.59643902197095,5.846799041693929,1.4035609780290548
15,15,0.075,0.27,0.6852551984877127,0.5853855470327008,0.7910105180059123,0.9107490059930422,0.014334624996990897,98.80975900268284,5.024242003314677,1.1902409973171626
20,20,0.1,0.29000000000000004,0.6776937618147448,0.5843520782396088,0.7874429836984361,0.9080331386945987,0.0194938749918947,98.63531533406163,3.6945258467898983,1.364684665938378
25,25,0.125,0.28,0.6909262759924386,0.5945506303375356,0.7955831191944919,0.9181860364364658,0.026543041996774264,100.35677306406629,2.7133523361941236,-0.3567730640662979
30,30,0.15,0.27,0.6994328922495274,0.5974969721437222,0.7999731296970705,0.9182907933471668,0.029189583990955725,100.85409884411764,2.467339891995771,-0.8540988441176498
