method,train_time_s,pred_time_s,recall,f1,gmean,threshold
RF_cost_sensitive_plus_density(k5_alpha5.0_cw4.0)(tuned),3.4069019579910673,0.06864041699736845,0.7996219281663516,0.592436974789916,0.839218784295301,0.20000000000000004
RF_baseline(tuned),1.6551357499993173,0.387892999991891,0.7041587901701323,0.6151940545004129,0.8059603922263145,0.31000000000000005
RF_cost_sensitive_cw4.0(tuned),2.001893958004075,0.05889366699557286,0.6965973534971645,0.6090909090909091,0.8012948601742412,0.29000000000000004
