seed,pos_class_weight,k,density_alpha,threshold_objective,best_threshold (val),Recall (test),F1 (test),G-mean (test)
0,4.0,5,5.0,f1,0.26000000000000006,0.717391304347826,0.6062300319488818,0.8097342760976239
1,4.0,5,5.0,f1,0.23000000000000004,0.7570888468809074,0.5979843225083986,0.8242217321402114
2,4.0,5,5.0,f1,0.26000000000000006,0.7155009451795841,0.6048741510187775,0.808611323586997
3,4.0,5,5.0,f1,0.24000000000000005,0.7457466918714556,0.6034416826003824,0.8209875290678574
4,4.0,5,5.0,f1,0.23000000000000004,0.7599243856332704,0.6022471910112359,0.8264549846569796
42,4.0,5,5.0,f1,0.23000000000000004,0.7580340264650284,0.6011994002998501,0.8254264155158668
mean,4.0,5,5.0,f1,0.2416666666666667,0.7422810333963453,0.6026627965645878,0.8192393768442562
