method,trees_count,train_time_s,pred_time_s,threshold,recall,f1,gmean,auc
Baseline,200,1.4660089170065476,0.06730712500575464,0.31000000000000005,0.7041587901701323,0.6151940545004129,0.8059603922263145,0.9287763090766832
Effect Optimized,200,1.6717134999926202,0.07128091700724326,0.20000000000000004,0.7996219281663516,0.592436974789916,0.839218784295301,0.9273810298847199
Effect + Efficiency,10,1.6717134999926202,0.01626570799271576,0.21000000000000002,0.723062381852552,0.5804248861911988,0.8058803454619156,0.8936464637736399
