Exp ID,pos_class_weight,k,density_alpha,tune_threshold,objective,best_threshold (val),Recall (test),F1 (test),G-mean (test)
K-1,4.0,3,5.0,Yes,f1,0.23000000000000004,0.7570888468809074,0.5988785046728972,0.8244517689105684
K-2,4.0,5,5.0,Yes,f1,0.23000000000000004,0.7580340264650284,0.6011994002998501,0.8254264155158668
K-3,4.0,7,5.0,Yes,f1,0.23000000000000004,0.7533081285444234,0.5978994748687172,0.822677373358417
