Exp ID,pos_class_weight (α),k,density_alpha (β),tune_threshold,objective,best_threshold (val),Recall (test),F1 (test),G-mean (test)
CW-1,2.0,5,5.0,Yes,f1,0.24000000000000005,0.7542533081285444,0.6015831134564644,0.8239961562266326
CW-2,4.0,5,5.0,Yes,f1,0.23000000000000004,0.7580340264650284,0.6011994002998501,0.8254264155158668
CW-3,6.0,5,5.0,Yes,f1,0.24000000000000005,0.7344045368620038,0.602559131446297,0.8160739014181257
CW-4,8.0,5,5.0,Yes,f1,0.2,0.7967863894139886,0.5909568874868559,0.8377294862551621
CW-5,10.0,5,5.0,Yes,f1,0.21000000000000002,0.7561436672967864,0.585865983156353,0.8206549121805123
