threshold,recall,precision
0.0,1.0,0.11699657193409267
0.005,0.999054820415879,0.14489376285126798
0.01,0.9933837429111532,0.17106119791666666
0.015,0.9924385633270322,0.194480459344323
0.02,0.9914933837429112,0.21438790108318007
0.025,0.9886578449905482,0.23004178579283044
0.03,0.9839319470699432,0.24557678697806087
0.035,0.9839319470699432,0.25979535812328425
0.04,0.9792060491493384,0.27255985267034993
0.045,0.9792060491493384,0.2842249657064472
0.05,0.9763705103969754,0.29321600908316775
0.055,0.9716446124763705,0.30058479532163745
0.06,0.9669187145557656,0.3087835798370057
0.065,0.9659735349716446,0.31808278867102396
0.07,0.9603024574669187,0.327319587628866
0.075,0.9555765595463138,0.3337735226147243
0.08,0.9480151228733459,0.3401152933197694
0.085,0.947069943289225,0.348643006263048
0.09,0.94234404536862,0.3535460992907801
0.095,0.9385633270321361,0.36069742099527785
0.1,0.9357277882797732,0.3674832962138085
0.105,0.9338374291115312,0.3749525616698292
0.11,0.9319470699432892,0.38172667440960123
0.115,0.9262759924385633,0.3885804916732752
0.12,0.9168241965973535,0.39303079416531606
0.125,0.9092627599243857,0.39702847709451095
0.13,0.9054820415879017,0.40150880134115674
0.135,0.8998109640831758,0.4070115433946131
0.14,0.8931947069943289,0.4114061819764911
0.145,0.889413988657845,0.4178507992895204
0.15,0.8818525519848771,0.42236306020823905
0.155,0.8799621928166351,0.42686840898670336
0.16,0.8752362948960303,0.4312994876571961
0.165,0.8648393194706995,0.4346793349168646
0.17,0.8553875236294896,0.4363548698167792
0.175,0.8478260869565217,0.4442793462109955
0.18,0.8412098298676749,0.44926804644119134
0.185,0.831758034026465,0.4519774011299435
0.19,0.8270321361058601,0.45668058455114824
0.195,0.8232514177693762,0.46035940803382663
0.2,0.8147448015122873,0.46294307196562834
0.205,0.8071833648393195,0.4648884050081655
0.21,0.8005671077504726,0.4697726012201886
0.215,0.7892249527410208,0.47281993204983014
0.22,0.779773156899811,0.4779837775202781
0.225,0.774102079395085,0.48432879952690716
0.23,0.7655954631379962,0.4891304347826087
0.235,0.7570888468809074,0.49413942011104256
0.24,0.7514177693761814,0.49843260188087773
0.245,0.7448015122873346,0.5038363171355499
0.25,0.7315689981096408,0.5078740157480315
0.255,0.722117202268431,0.5124077800134138
0.26,0.7155009451795841,0.5170765027322405
0.265,0.7088846880907372,0.5211952744961779
0.27,0.7013232514177694,0.5243816254416961
0.275,0.6928166351606805,0.5273381294964029
0.28,0.6852551984877127,0.5311355311355311
0.285,0.6729678638941399,0.5333333333333333
0.29,0.6597353497164461,0.5381649961449498
0.295,0.6531190926275993,0.542386185243328
0.3,0.6427221172022685,0.5483870967741935
0.305,0.6361058601134215,0.5520918785890074
0.31,0.6294896030245747,0.5554628857381151
0.315,0.6209829867674859,0.5615384615384615
0.32,0.6153119092627599,0.5695538057742782
0.325,0.6011342155009451,0.572972972972973
0.33,0.5926275992438563,0.5768169273229071
0.335,0.5841209829867675,0.5764925373134329
0.34,0.5737240075614367,0.5791984732824428
0.345,0.5633270321361059,0.580896686159844
0.35,0.553875236294896,0.5883534136546185
0.355,0.5444234404536862,0.591983556012333
0.36,0.5330812854442344,0.5936842105263158
0.365,0.5226843100189036,0.5991332611050921
0.37,0.5132325141776938,0.6026637069922308
0.375,0.5075614366729678,0.6102272727272727
0.38,0.502835538752363,0.6157407407407407
0.385,0.4924385633270321,0.6172985781990521
0.39,0.4896030245746692,0.6240963855421687
0.395,0.4810964083175803,0.6237745098039216
0.4,0.4725897920604915,0.628140703517588
0.405,0.46880907372400754,0.6375321336760925
0.41,0.45652173913043476,0.637203166226913
0.415,0.4499054820415879,0.6397849462365591
0.42,0.44139886578449905,0.6432506887052342
0.425,0.43005671077504726,0.6546762589928058
0.43,0.4224952741020794,0.6563876651982379
0.435,0.41304347826086957,0.6601208459214502
0.44,0.40831758034026466,0.6656394453004623
0.445,0.39697542533081287,0.6687898089171974
0.45,0.391304347826087,0.6775777414075287
0.455,0.3742911153119093,0.6746166950596252
0.46,0.3648393194706994,0.6736474694589878
0.465,0.3563327032136106,0.6792792792792792
0.47,0.34782608695652173,0.6789667896678967
0.475,0.34026465028355385,0.6844106463878327
0.48,0.333648393194707,0.6881091617933723
0.485,0.32608695652173914,0.6927710843373494
0.49,0.31568998109640833,0.698744769874477
0.495,0.30623818525519847,0.7074235807860262
0.5,0.3005671077504726,0.7194570135746606
0.505,0.29678638941398866,0.7319347319347319
0.51,0.29300567107750475,0.7434052757793765
0.515,0.29111531190926276,0.7530562347188264
0.52,0.28166351606805295,0.7525252525252525
0.525,0.276937618147448,0.7571059431524548
0.53,0.26937618147448017,0.7559681697612732
0.535,0.2599243856332703,0.7575757575757576
0.54,0.2495274102079395,0.7564469914040115
0.545,0.2391304347826087,0.755223880597015
0.55,0.23724007561436672,0.7652439024390244
0.555,0.23534971644612476,0.7685185185185185
0.56,0.22967863894139887,0.7714285714285715
0.565,0.22589792060491493,0.7709677419354839
0.57,0.222117202268431,0.7755775577557755
0.575,0.21172022684310018,0.7671232876712328
0.58,0.20793950850661624,0.7692307692307693
0.585,0.20226843100189035,0.7781818181818182
0.59,0.1956521739130435,0.7900763358778626
0.595,0.1880907372400756,0.7865612648221344
0.6,0.18052930056710775,0.7860082304526749
0.605,0.17391304347826086,0.7863247863247863
0.61,0.16824196597353497,0.7841409691629956
0.615,0.15973534971644612,0.786046511627907
0.62,0.15595463137996218,0.7932692307692307
0.625,0.15122873345935728,0.8
0.63,0.14933837429111532,0.8020304568527918
0.635,0.14650283553875237,0.8115183246073299
0.64,0.14272211720226843,0.8074866310160428
0.645,0.13799621928166353,0.8066298342541437
0.65,0.1342155009451796,0.8022598870056498
0.655,0.1323251417769376,0.813953488372093
0.66,0.1266540642722117,0.8121212121212121
0.665,0.1266540642722117,0.8220858895705522
0.67,0.12287334593572778,0.8176100628930818
0.675,0.11909262759924386,0.8344370860927153
0.68,0.11436672967863894,0.8344827586206897
0.685,0.11247637051039698,0.8321678321678322
0.69,0.10964083175803403,0.8405797101449275
0.695,0.10586011342155009,0.8421052631578947
