threshold,recall,precision
0.0,1.0,0.11699657193409267
0.005,0.997164461247637,0.14800785634118968
0.01,0.994328922495274,0.1758903193445912
0.015,0.9933837429111532,0.19740796393688956
0.02,0.9886578449905482,0.21513780337309749
0.025,0.9877126654064272,0.23048081164534628
0.03,0.9839319470699432,0.24621570482497634
0.035,0.9820415879017014,0.25839343446903756
0.04,0.9792060491493384,0.2711332112012562
0.045,0.9754253308128544,0.2823529411764706
0.05,0.9716446124763705,0.29304446978335236
0.055,0.9716446124763705,0.30315541138307284
0.06,0.9678638941398866,0.3119098385622906
0.065,0.9650283553875236,0.3195618153364632
0.07,0.9612476370510397,0.3256484149855908
0.075,0.9584120982986768,0.33410214168039537
0.08,0.9517958412098299,0.3422841604350782
0.085,0.944234404536862,0.348326359832636
0.09,0.94234404536862,0.35670840787119856
0.095,0.9366729678638941,0.3626051957555799
0.1,0.9328922495274102,0.3686963018304072
0.105,0.9272211720226843,0.37643898695318495
0.11,0.9243856332703214,0.3832288401253918
0.115,0.9196597353497165,0.3888888888888889
0.12,0.9177693761814745,0.3943948009748172
0.125,0.9120982986767486,0.40008291873963514
0.13,0.9083175803402647,0.40651438240270726
0.135,0.8998109640831758,0.40963855421686746
0.14,0.8931947069943289,0.4144736842105263
0.145,0.8818525519848771,0.4168900804289544
0.15,0.8761814744801513,0.4204081632653061
0.155,0.8648393194706995,0.4245939675174014
0.16,0.8638941398865785,0.4303201506591337
0.165,0.8572778827977315,0.4345951126018208
0.17,0.8525519848771267,0.4397854705021941
0.175,0.8478260869565217,0.44494047619047616
0.18,0.8383742911153119,0.4475277497477296
0.185,0.831758034026465,0.45151359671626473
0.19,0.8279773156899811,0.4572025052192067
0.195,0.8166351606805293,0.46030900372935535
0.2,0.8090737240075614,0.46320346320346323
0.205,0.8052930056710775,0.468904788112273
0.21,0.8034026465028355,0.4748603351955307
0.215,0.7958412098298677,0.47977207977207975
0.22,0.7873345935727788,0.48458406050029085
0.225,0.779773156899811,0.4913639070875521
0.23,0.7655954631379962,0.4927007299270073
0.235,0.7570888468809074,0.4972067039106145
0.24,0.7476370510396976,0.5012674271229405
0.245,0.7410207939508506,0.5071151358344114
0.25,0.7315689981096408,0.5085413929040736
0.255,0.7296786389413988,0.5143237841439041
0.26,0.724007561436673,0.5210884353741496
0.265,0.717391304347826,0.524896265560166
0.27,0.7088846880907372,0.529287226534933
0.275,0.6994328922495274,0.5335255948089401
0.28,0.6947069943289225,0.5392516507703595
0.285,0.6871455576559546,0.542942494398805
0.29,0.6758034026465028,0.5491551459293394
0.295,0.6691871455576559,0.553125
0.3,0.6625708884688091,0.5594573024740622
0.305,0.6474480151228733,0.5628594905505341
0.31,0.6417769376181475,0.5682008368200837
0.315,0.6294896030245747,0.5726569217540842
0.32,0.6247637051039697,0.5788091068301225
0.325,0.6096408317580341,0.581605049594229
0.33,0.5982986767485823,0.5828729281767956
0.335,0.5888468809073724,0.5866290018832392
0.34,0.5784499054820416,0.5895953757225434
0.345,0.5699432892249527,0.5946745562130178
0.35,0.556710775047259,0.5943491422805247
0.355,0.5453686200378072,0.5966907962771458
0.36,0.5293005671077504,0.6002143622722401
0.365,0.5217391304347826,0.605927552140505
0.37,0.5170132325141777,0.6125419932810751
0.375,0.504725897920605,0.6109839816933639
0.38,0.497164461247637,0.6137689614935823
0.385,0.4905482041587902,0.6171224732461356
0.39,0.4839319470699433,0.617611580217129
0.395,0.47448015122873344,0.6220570012391574
0.4,0.46502835538752363,0.6219974715549936
0.405,0.4603024574669187,0.6259640102827764
0.41,0.44706994328922495,0.6289893617021277
0.415,0.44139886578449905,0.6336499321573948
0.42,0.4281663516068053,0.635343618513324
0.425,0.4168241965973535,0.6354466858789626
0.43,0.4111531190926276,0.6387665198237885
0.435,0.4054820415879017,0.6441441441441441
0.44,0.39697542533081287,0.6471494607087828
0.445,0.388468809073724,0.6544585987261147
0.45,0.3827977315689981,0.6574675324675324
0.455,0.3742911153119093,0.6578073089700996
0.46,0.3591682419659735,0.6597222222222222
0.465,0.3544423440453686,0.6637168141592921
0.47,0.3497164461247637,0.6751824817518248
0.475,0.34026465028355385,0.6779661016949152
0.48,0.333648393194707,0.6867704280155642
0.485,0.32514177693761814,0.6907630522088354
0.49,0.31852551984877125,0.6991701244813278
0.495,0.31379962192816635,0.7048832271762208
0.5,0.30812854442344045,0.7117903930131004
0.505,0.30434782608695654,0.71875
0.51,0.2996219281663516,0.7220956719817767
0.515,0.29017013232514177,0.7223529411764706
0.52,0.2844990548204159,0.732360097323601
0.525,0.27882797731569,0.7338308457711443
0.53,0.2637051039697543,0.7380952380952381
0.535,0.2561436672967864,0.7445054945054945
0.54,0.24763705103969755,0.7464387464387464
0.545,0.24196597353497165,0.750733137829912
0.55,0.23724007561436672,0.7560240963855421
0.555,0.22967863894139887,0.7641509433962265
0.56,0.2277882797731569,0.767515923566879
0.565,0.22117202268431002,0.7722772277227723
0.57,0.21172022684310018,0.7724137931034483
0.575,0.20699432892249528,0.7793594306049823
0.58,0.20415879017013233,0.7854545454545454
0.585,0.1994328922495274,0.7873134328358209
0.59,0.1937618147448015,0.7915057915057915
0.595,0.1880907372400756,0.796
0.6,0.1843100189035917,0.8057851239669421
0.605,0.18147448015122875,0.810126582278481
0.61,0.17485822306238186,0.8078602620087336
0.615,0.16824196597353497,0.8127853881278538
0.62,0.16446124763705103,0.8246445497630331
0.625,0.15879017013232513,0.8275862068965517
0.63,0.15500945179584122,0.8241206030150754
0.635,0.15122873345935728,0.8333333333333334
